Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
Mustache Baby,"['Bridget Heos', 'Joy Ang']",ePUB,11.99,11.99,0547773994,2013-05-14,HarperCollins,
Golden Buddha,"['Clive Cussler', 'Craig Dirgo']",ePUB,14.99,14.99,0141914734,2012-07-05,Penguin Books Ltd,544
The Traitor Queen,['Trudi Canavan'],ePUB,12.99,12.99,074812862X,2012-08-02,"Little, Brown Book Group",592
Of Mice and Men,"['Susan Shillinglaw', 'John Steinbeck']",ePUB,15.99,15.99,0141923474,2000-09-07,Penguin Books Ltd,144
How to Talk to Anyone,['Leil Lowndes'],Paperback,24.99,21.75,0722538073,1999-04-28,HarperCollins Publishers,352
Mindfulness for Health,"['Vidyamala Burch', 'Dr Danny Penman']",ePUB,15.99,15.99,1405522518,2013-09-05,"Little, Brown Book Group",288
The Rotten Heart of Europe,['Bernard Connolly'],ePUB,13.19,11.99,0571301754,2013-01-15,Faber & Faber,480
Widdershins,['Jordan L. Hawk'],ePUB,6.99,6.99,0988564106,2012-12-03,Widdershins Press LLC,
Testament of Youth,['Vera Brittain'],ePUB,12.99,12.99,0297859145,2009-07-16,Orion,608
Book not found for ISBN 9780060005443,,,,,,,,
The Third Man and the Fallen Idol,['Graham Greene'],ePUB,15.99,15.99,1407086766,2010-10-02,Random House,160
Grandmothers,['Salley Vickers'],ePUB,15.99,15.99,0241985420,2019-11-07,Penguin Books Ltd,400
Twins,['Kate Kray'],E-Book,0,0,1306015979,2002-01-01,BLAKE PUBLISHING,287
Pulled by the Tail,['Nancey Cummings'],ePUB,5.99,5.99,046316380X,2019-07-29,Menura Press,
Going on the Turn,['Danny Baker'],ePUB,12.99,12.99,0297870149,2017-10-05,Orion,288
Little Women,['Louisa May Alcott'],E-Book,0,0,1306265363,2011-01-01,Calico Chapter Books,114
Hyperion,['Dan Simmons'],ePUB,12.99,12.99,0575099968,2010-08-05,Orion,480
Without Fail,['Lee Child'],ePUB,16.99,16.99,1407070649,2008-09-04,Transworld,576
A Study in Death,['Anna Lee Huber'],ePUB,11.72,10.99,0698181506,2015-07-07,Penguin Publishing Group,
The Polaris Protocol,['Brad Taylor'],ePUB,14.25,14.25,0698148452,2014-01-14,Penguin Publishing Group,400
This Is Not A Drill,['Extinction Rebellion'],ePUB,14.99,14.99,0141991453,2019-06-13,Penguin Books Ltd,160
Arsenic For Tea,['Robin Stevens'],ePUB,9.99,9.99,0141369809,2016-02-25,Penguin Random House Children's UK,352
Red Mist,['Patricia Cornwell'],ePUB,11.99,11.99,0748118934,2011-11-26,"Little, Brown Book Group",512
Dress Your Family In Corduroy And Denim,['David Sedaris'],ePUB,12.99,12.99,0748125949,2010-09-16,"Little, Brown Book Group",272
Nightfall Berlin,['Jack Grimwood'],ePUB,15.99,15.99,1405921730,2018-05-17,Penguin Books Ltd,400
Naked in Death,['J.D. Robb'],ePUB,11.99,11.99,0748121757,2010-10-07,"Little, Brown Book Group",320
A Place Called Freedom,['Ken Follett'],ePUB,13.95,10.4,0330465678,2008-09-04,,0
Mercy,['Jodi Picoult'],ePUB,29.75,29.75,110154953X,1996-08-08,,1
Road to Character,['David Brooks'],E-Book,0,0,0679645039,2015-01-01,Random House Publishing Group,
United As One,['Pittacus Lore'],ePUB,15.99,15.99,0718184912,2016-07-14,Penguin Books Ltd,352
On Fire,['Naomi Klein'],ePUB,18.99,18.99,0241410746,2019-09-17,Penguin Books Ltd,224
The Lies of Locke Lamora,['Scott Lynch'],ePUB,12.99,12.99,0575086009,2008-09-18,Orion,544
Maigret and Monsieur Charles,"['Georges Simenon', 'Ros Schwartz']",ePUB,15.99,15.99,0241304431,2020-01-09,Penguin Books Ltd,160
Council of Twelve,['Oliver Potzsch'],Paperback,37.67,37.67,1328508315,2018-05-29,MARINER BOOKS                 ,512
A Dirty Shame,['Liliana Hart'],ePUB,10.99,10.99,0985228733,2012-10-27,7th Press,
The Reluctant Fundamentalist,['Mohsin Hamid'],ePUB,15.99,15.99,0141923644,2008-04-24,Penguin Books Ltd,224
Playful Parenting,['Lawrence J. Cohen'],ePUB,23.99,19.99,0307489604,2008-11-19,Random House Publishing Group,
The Runaway Jury,['John Grisham'],ePUB,15.99,15.99,1407059459,2010-04-21,Random House,496
Magic Shifts,['Ilona Andrews'],ePUB,14.66,11.99,0698136772,2015-08-04,Penguin Publishing Group,
High Fidelity,['Nick Hornby'],ePUB,15.99,15.99,0141925078,2005-05-05,Penguin Books Ltd,256
Little Women,['Louisa May Alcott'],E-Book,0,0,1306265363,2011-01-01,Calico Chapter Books,114
The Novice,['Trudi Canavan'],ePUB,8.99,8.99,0748116672,2010-01-07,"Little, Brown Book Group",592
The Last Wish,"['Andrzej Sapkowski', 'Danusia Stok']",ePUB,12.99,12.99,0575099917,2010-08-19,Orion,288
Travels with Charley,"['Jay Parini', 'John Steinbeck']",ePUB,15.99,15.99,0141190663,2001-03-01,Penguin Books Ltd,240
Anybody Out There,['Marian Keyes'],ePUB,15.99,15.99,0141904755,2007-02-08,Penguin Books Ltd,608
A Big Boy Did It And Ran Away,['Christopher Brookmyre'],ePUB,12.99,12.99,0748132007,2011-06-16,"Little, Brown Book Group",512
The Gathering Storm,"['Robert Jordan', 'Brandon Sanderson']",ePUB,12.99,12.99,0748115455,2010-10-07,"Little, Brown Book Group",672
Three Tang Dynasty Poets,['Penguin Books Ltd'],ePUB,4.99,4.99,0141398213,2015-02-26,Penguin Books Ltd,80
Burn Fat Fast,['Kate Staples'],ePUB,9.99,9.99,1405528737,2013-06-06,"Little, Brown Book Group",96
The Man From St Petersburg,['Ken Follett'],Paperback,21.99,19.75,150986234X,2019-05-28,Pan Macmillan UK,464
Blood Rites,['Jim Butcher'],ePUB,11.99,11.99,0748116117,2010-03-04,"Little, Brown Book Group",464
Remote Control,['Andy McNab'],ePUB,15.99,15.99,1407039172,2008-10-02,Transworld,512
Dune,['Frank Herbert'],ePUB,11.99,11.99,0575104414,2010-12-30,Orion,624
Book not found for ISBN 9780061801891,,,,,,,,
To Hell and Back,['Ian Kershaw'],ePUB,19.99,19.99,024118715X,2015-09-24,Penguin Books Ltd,400
Leaders Eat Last,['Simon Sinek'],ePUB,16.99,16.99,0670923184,2014-01-09,Penguin Books Ltd,256
Every Breath,['Nicholas Sparks'],ePUB,11.99,11.99,0751567779,2018-10-16,"Little, Brown Book Group",320
"Sister, Missing",['Sophie McKenzie'],ePUB,10.99,10.99,0857072900,2011-09-15,Simon & Schuster UK,1
Closing the Vocabulary Gap,['Alex Quigley'],ePUB,36.29,36.29,1351624539,2018-04-06,Taylor & Francis,0
The Skeleton Road,['Val McDermid'],ePUB,11.99,11.99,1405523131,2014-09-11,"Little, Brown Book Group",416
The Glass Room,['Simon Mawer'],ePUB,11.99,11.99,0748115684,2009-08-20,"Little, Brown Book Group",416
Death of a Salesman,['Arthur Miller'],ePUB,10.99,10.99,0141903953,2013-05-03,Penguin Books Ltd,112
Seven Brief Lessons on Physics,"['Carlo Rovelli', 'Simon Carnell', 'Erica Segre']",ePUB,14.99,14.99,0241235979,2015-09-24,Penguin Books Ltd,96
Forgive Me,['Lesley Pearse'],ePUB,15.99,15.99,0718159020,2013-02-14,Penguin Books Ltd,512
The Paper Moon,['Andrea Camilleri'],Paperback,21.99,19.75,1529043840,2021-07-27,Pan Macmillan UK,288
The Paleo Diet,['Loren Cordain'],ePUB and PDF,11.99,11.99,1118001311,2010-11-29,John Wiley & Sons Australia,304
Noughts & Crosses,['Malorie Blackman'],ePUB,12.99,12.99,1407047965,2008-12-26,RHCP,512
Stone Cold,['Robert Swindells'],ePUB,12.99,12.99,0141927585,2005-01-27,Penguin Random House Children's UK,144
A Winter Flame,['Milly Johnson'],ePUB,9.99,9.99,0857208993,2012-10-25,Simon & Schuster UK,416
"Walden; Or, Life in the Woods",['Henry David Thoreau'],ePUB,1.45,1.45,0486132536,2012-03-22,Dover Publications,224
The Summer That Never Was,['Peter Robinson'],ePUB,12.35,8.95,0330514504,2009-08-21,,0
The Kingmaker's Daughter,['Philippa Gregory'],ePUB,13.99,13.99,0857207504,2012-08-16,Simon & Schuster UK,464
The War that Saved My Life,['Kimberly Brubaker Bradley'],ePUB,23.95,23.95,1101637803,2015-01-08,,0
Lady Isabella's Ogre,['Emily Larkin'],ePUB,7.99,7.99,0995105006,2017-12-05,Emily Larkin,
Intuitive Eating,[],ePUB,10.83,9.45,1250014182,2012-08-07,St. Martin's Publishing Group,
Viking Slave,['Griff Hosker'],ePUB,8.15,8.15,1310514763,2015-05-14,Griff Hosker,
Journey into Fear,"['Eric Ambler', 'Norman Stone']",ePUB,15.99,15.99,0141924640,2009-05-28,Penguin Books Ltd,224
Northern Lights,['Nora Roberts'],ePUB,12.99,12.99,0748110194,2008-10-02,"Little, Brown Book Group",544
Paradise Lost,"['John Milton', 'John A. Himes']",ePUB,1.45,1.45,0486113248,2012-04-06,Dover Publications,480
The Paying Guests,['Sarah Waters'],ePUB,12.99,12.99,0349004595,2014-08-28,"Little, Brown Book Group",576
How to be a Victorian,['Ruth Goodman'],ePUB,15.99,15.99,0241958342,2013-06-27,Penguin Books Ltd,400
El Murmullo de Las Abejas,['Sofia Segovia'],E-Book,0,0,1101912502,2015-04-28,Vintage Espanol,331
The Lost Symbol,['Dan Brown'],Hardcover,58.99,44.4,059305427X,2009-09-01,Transworld Publishers Ltd,528
Diary Of The Heart,['W. R. Watkins'],ePUB,0,0,1310697884,2016-03-10,W. R. Watkins,
The Look Of Love,['Bella Andre'],ePUB,0,0,0983720207,2012-04-11,"Oak Press, LLC",115
"The Painted Man (The Demon Cycle, Book 1)",['Peter V. Brett'],ePUB,12.99,12.99,0007287755,2009-01-08,HarperCollins Publishers,544
The Road,['Cormac McCarthy'],Paperback,21.99,21.25,0330468464,2009-12-01,Pan Macmillan UK,324
Diabetic Living Diabetes Meals by the Plate,['Diabetic Living Editors'],ePUB,27.75,27.75,0544302346,2014-12-30,HMH Books,0
Baby-Led Feeding,['Jenna Helwig'],ePUB,26.99,26.99,0544963423,2018-03-13,HarperCollins,208
Damage Control,['Robert Dugoni'],ePUB,17.99,17.99,0759518165,2007-02-14,Grand Central Publishing,300
Total Control,['David Baldacci'],ePUB,11.5,8.5,0330523333,2011-05-16,,624
Shadow Spell,['Nora Roberts'],ePUB,16.99,16.99,1405517840,2014-03-25,"Little, Brown Book Group",352
Sleepyhead,['Mark Billingham'],ePUB,12.99,12.99,0748109536,2008-09-04,"Little, Brown Book Group",432
Captain Hornblower R.N.,['C.S. Forester'],ePUB,15.99,15.99,0141959150,2000-01-01,Penguin Books Ltd,576
Unlocking Destinies From the Courts of Heaven Leader's Guide,['Robert Henderson'],Paperback,28.5,28.5,0768413796,2017-03-21,,192
The Final Empire,['Brandon Sanderson'],ePUB,11.99,11.99,0575097744,2010-03-30,Orion,672
Liberation Square,['Gareth Rubin'],ePUB,15.99,15.99,1405930624,2019-04-18,Penguin Books Ltd,400
The Dip,['Seth Godin'],ePUB,11.99,11.99,0748129278,2011-02-03,"Little, Brown Book Group",96
Tenth of December,['George Saunders'],Paperback,22.99,20.4,1408894815,2017-12-01,Bloomsbury,288
The Shack,['William P. Young'],ePUB,19.99,19.99,0964729296,2008-06-20,Windblown Media,300
Red Carpets And Other Banana Skins,['Rupert Everett'],ePUB,12.99,12.99,0748109781,2008-09-04,"Little, Brown Book Group",416
It's Not OK to Feel Blue (and other lies),['Scarlett Curtis'],ePUB,12.99,12.99,0241410967,2019-10-03,Penguin Random House Children's UK,576
Decline and Fall of the Roman Empire,"['Edward Gibbon', 'Gian Battista Piranesi', 'Daniel J. Boorstin']",ePUB,27.42,21.99,0812984838,2013-01-28,Random House Publishing Group,
Invasion,['Julian Stockwin'],E-Book,0,0,1306063795,2009-01-01,McBooks Press,307
Mornings on Horseback,['David McCullough'],ePUB,12.99,12.99,0743218302,2007-05-31,Simon & Schuster,448
Enemy of God,['Bernard Cornwell'],ePUB,15.99,15.99,014192912X,2007-11-01,Penguin Books Ltd,496
The Burning Maze (The Trials of Apollo Book 3),['Rick Riordan'],ePUB,9.99,9.99,0141364025,2018-05-01,Penguin Random House Children's UK,528
Book not found for ISBN 9780141345642,,,,,,,,
Gone,['Michael Grant'],ePUB,9.99,9.99,0061909645,2009-05-19,HarperCollins,576
The Chain,['Adrian McKinty'],Hardcover,48.4,48.4,031653126X,2019-07-09,Mulholland Books,368
The Other Side of the Dale,['Gervase Phinn'],ePUB,14.99,14.99,0141925167,2000-01-01,Penguin Books Ltd,288
Book not found for ISBN 9780307271914,,,,,,,,
Cross,['James Patterson'],ePUB,12.99,12.99,0755387120,2011-04-28,Headline,321
The Dark Monk,"['Oliver Potzsch', 'Lee Chadeayne']",Paperback with Flaps on Inside & Back Covers,37.67,37.67,0547807686,2012-06-12,Houghton Mifflin,463
A Week in the Life of Corinth,['Ben Witherington Ii'],Paperback,32.96,32.96,0830839623,2012-03-30,InterVarsity Press,159
Can't Anyone Help Me?,['Toni Maguire'],ePUB,14.99,14.99,0141966734,2011-07-07,Penguin Books Ltd,288
The Master's Tools Will Never Dismantle the Master's House,['Audre Lorde'],ePUB,1.99,1.99,0241339731,2018-05-31,Penguin Books Ltd,64
Centurion,['Simon Scarrow'],Paperback,20.4,20.4,0755348362,2008-08-01,Headline,533
The Biology of Belief,['Bruce H. Lipton'],ePUB and PDF,20,14.95,1401923445,2008-09-15,"Hay House UK, Limited",204
The Dragon Reborn,['Robert Jordan'],ePUB,12.99,12.99,0748115366,2009-12-15,"Little, Brown Book Group",704
The Diary of a Killer Cat,['Anne Fine'],ePUB,9.99,9.99,0141971568,2011-03-03,Penguin Random House Children's UK,64
Book not found for ISBN 9780241381250,,,,,,,,
The Expression of the Emotions in Man and Animal,['Charles Darwin'],Paperback,34.99,28.5,0486817318,2018-03-01,Dover Publications Inc.,416
The Forgotten 500,['Gregory A. Freeman'],ePUB,23.99,19.99,1101032340,2008-09-02,Penguin Publishing Group,336
The Bloody Chamber and Other Stories,"['Angela Carter', 'Helen Simpson']",ePUB,15.99,15.99,140901536X,2012-10-31,Random House,176
Revelation for Everyone,['Tom Wright'],ePUB,17.04,13.99,0281064644,2011-11-15,SPCK,256
The Pale Horseman [TV Tie-in Edition],['Bernard Cornwell'],Paperback,22.99,20.4,0008139482,2015-09-21,HarperCollins Publishers,432
Mary Berry's Christmas Collection,['Mary Berry'],ePUB,14.99,14.99,0755364430,2013-09-26,Headline,288
Book not found for ISBN 9780307414281,,,,,,,,
The Son of Neptune (Heroes of Olympus Book 2),['Rick Riordan'],ePUB,9.99,9.99,0141967552,2011-10-04,Penguin Random House Children's UK,544
And Furthermore,['Dame Judi Dench'],ePUB,11.99,11.99,0297859684,2010-10-14,Orion,320
Medusa,['Michael Dibdin'],ePUB,13.19,11.99,0571246028,2008-09-04,Faber & Faber,384
Quiet,['Susan Cain'],ePUB,14.99,14.99,0141970170,2012-03-29,Penguin Books Ltd,352
Never Tell,['Catherine McCall'],ePUB,19.99,19.99,1407031082,2010-04-01,Ebury Publishing,288
Book not found for ISBN 9780307414120,,,,,,,,
Child of the Morning,['Pauline Gedge'],E-Book,0,0,1306051703,2010-01-01,Chicago Review Press,420
The Dream Book,['Stephanie Schureman'],Paperback,33.6,33.6,0768419581,2019-03-19,DESTINY IMAGE INC             ,272
All Things New,"['Brian J. Tabb', 'D. A. Carson']",Paperback,55.75,55.75,0830826491,2019-04-30,IVP ACADEMIC                  ,280
Night Probe!,['Clive Cussler'],ePUB,11.99,11.99,074811436X,2009-09-17,"Little, Brown Book Group",384
The Count of Monte Cristo,"['Alexandre Dumas', 'Robin Buss', 'Robin Buss']",ePUB,10.99,10.99,014190125X,2003-03-27,Penguin Books Ltd,1312
Love is Blind,['William Boyd'],ePUB,15.99,15.99,0241979781,2018-09-20,Penguin Books Ltd,296
Skeleton For Dinner,['Margery Cuyler'],Hardcover,29.95,28.25,0807573981,2013-09-01,Whitman & Co.,32
The Giver (Movie Tie-In Edition),['Lois Lowry'],Paperback,22.75,22.75,054434068X,2014-07-01,Clarion Books,256
Double Cross,['Malorie Blackman'],ePUB,9.99,9.99,1407044877,2008-12-29,Penguin Random House Children's UK,448
The Falls,['Ian Rankin'],Paperback,22.99,20.4,075288364X,2008-10-01,Orion,512
Wednesday's Child,['Peter Robinson'],ePUB,12.35,8.95,0330514652,2009-08-21,,0
Mrs. Lincoln's Dressmaker,['Jennifer Chiaverini'],ePUB,25.7,20.99,1101609648,2013-01-15,Penguin Publishing Group,352
All Systems Red,['Martha Wells'],ePUB,6.22,5.99,0765397528,2017-05-02,Tor Publishing Group,
Horus Rising,['Dan Abnett'],ePUB,13.99,13.99,0857870211,2014-04-24,Black Library,
Convenience Store Woman,"['Sayaka Murata', 'Ginny Tapley Takemori']",Paperback,22.99,20.35,1846276845,2019-06-03,Granta,176
The Sword Saint,['C. F. Iggulden'],ePUB,15.99,15.99,0718186834,2019-08-08,Penguin Books Ltd,384
Tribune of Rome,['Robert Fabbri'],ePUB,3.99,3.99,085789482X,2011-05-01,Corvus,300
Jacob's New Dress,['Sarah Hoffman'],Hardcover,39.75,39.75,0807563730,2014-04-01,Whitman & Co.,32
The Essential Guide to Getting Your Book Published,"['Arielle Eckstut', 'David Henry Sterry']",ePUB,23.99,23.99,0761163980,2010-11-11,Workman Publishing Company,544
You Are a Badass,['Jen Sincero'],ePUB,25.29,23.75,0762448318,2013-04-23,,256
Night Broken,['Patricia Briggs'],ePUB,11.99,11.99,1405513489,2014-03-11,"Little, Brown Book Group",352
"Saga, Vol. 2","['Brian K. Vaughan', 'Fiona Staples']",ePUB,16.75,16.75,1106927613,2013-07-02,,152
The Written,['Ben Galley'],ePUB,1.99,1.99,0956770029,2015-12-01,BenGalley.com,0
Age of Swords,['Michael J. Sullivan'],ePUB,14.66,11.99,1101965371,2017-07-25,Random House Worlds,
The Uninhabitable Earth,['David Wallace-Wells'],ePUB,15.99,15.99,0241355230,2019-02-19,Penguin Books Ltd,208
The Rape of Nanking,['Iris Chang'],ePUB,13.99,13.99,046502825X,2014-03-11,Basic Books,360
"Olive, Again",['Elizabeth Strout'],ePUB,15.99,15.99,0241985552,2019-10-31,Penguin Books Ltd,272
Book not found for ISBN 9780307271914,,,,,,,,
Northern Lights,['Nora Roberts'],Paperback,22.99,20.4,0749929693,2009-06-01,Little Brown,576
Manson,['Jeff Guinn'],ePUB,13.99,13.99,0857208950,2013-08-06,Simon & Schuster UK,512
Odessa Sea,"['Clive Cussler', 'Dirk Cussler']",ePUB,15.99,15.99,140592764X,2016-11-17,Penguin Books Ltd,480
Nudge,"['Richard H. Thaler', 'Cass R Sunstein']",ePUB,16.99,16.99,0141976101,2012-10-04,Penguin Books Ltd,320
Revelation,['C. J. Sansom'],ePUB,13.95,10.4,0230714803,2008-10-07,,0
A Gathering of Shadows,['V E Schwab'],Hardcover,50.35,50.35,0765376474,2016-02-23,Tor Books,512
Book not found for ISBN 9780307351937,,,,,,,,
Redeeming Your Bloodline,['Hrvoje Sirovina'],Paperback,32.63,32.63,0768448883,2019-05-01,SOUND WISDOM,224
The Great Gatsby,['F. Scott Fitzgerald'],ePUB,11.99,11.99,074324639X,2003-05-27,Scribner,165
A Crown Of Swords,['Robert Jordan'],ePUB,12.99,12.99,0748115404,2010-04-20,"Little, Brown Book Group",784
Dead Beat,['Jim Butcher'],ePUB,12.99,12.99,0748116575,2010-03-04,"Little, Brown Book Group",512
Bitten,['Kelley Armstrong'],ePUB,11.99,11.99,0748108599,2008-09-04,"Little, Brown Book Group",464
The Heart of the Dales,['Gervase Phinn'],ePUB,14.99,14.99,0141902140,2008-06-26,Penguin Books Ltd,400
Monster Trucks!,"['Michael J Doolittle', 'Susan E. Goodman']",ePUB,8.79,7.99,0385374674,2013-07-31,Random House Children's Books,
The Spider Network,['David Enrich'],ePUB,18.99,18.99,0753552043,2017-03-23,Ebury Publishing,496
The Simple Truth,['David Baldacci'],Paperback,17.99,16.75,1529003237,2019-07-09,Pan Macmillan UK,704
The Essential Guide to Getting Your Book Published,"['Arielle Eckstut', 'David Henry Sterry']",Paperback,32.59,32.59,076116085X,2010-11-04,Workman,544
The Millionaire Fastlane,['MJ DeMarco'],ePUB,7.99,7.99,0984358110,2012-03-18,Viperion Publishing,336
Cut,['Cathy Glass'],ePUB,12.99,12.99,0007287151,2009-01-19,HarperCollins Publishers,320
Paddy Clarke Ha Ha Ha,['Roddy Doyle'],ePUB,15.99,15.99,1409021300,2010-02-23,Random House,288
Introducing Cultural Studies,['Dr David Walton'],E-Book,0,0,128211915X,2007-11-29,Sage Publications Ltd,323
My Kitchen Table,['Gizzi Erskine'],ePUB,14.99,14.99,0753548038,2012-01-05,Ebury Publishing,208
Hulk,"['Greg Pak', 'Carlo Pagulayan', 'Aaron Lopresti']",ePUB,36.66,29.99,0785170626,2014-07-30,Marvel Entertainment,
A Dangerous Fortune,['Ken Follett'],ePUB,13.95,10.4,0330466674,2008-09-04,,608
The Handsome Man's De Luxe Cafe,['Alexander McCall Smith'],ePUB,11.99,11.99,1405520604,2014-09-18,"Little, Brown Book Group",256
Book not found for ISBN 9780141347769,,,,,,,,
The Risk,['Elle Kennedy'],ePUB,6.99,6.99,0994054467,2019-02-18,?Elle Kennedy Inc.,
Last Argument Of Kings,['Joe Abercrombie'],ePUB,12.99,12.99,0575087870,2009-06-18,Orion,544
The 4 Pillar Plan,['Dr Rangan Chatterjee'],ePUB,19.99,19.99,0241303567,2017-12-28,Penguin Books Ltd,272
The Jump,['Martina Cole'],ePUB,11.99,11.99,0755350731,2008-09-04,Headline,672
The Night Manager,['John le Carré'],ePUB,15.99,15.99,0141976268,2013-11-07,Penguin Books Ltd,480
The Ludwig Conspiracy,['Oliver Pötzsch'],ePUB,24.19,19.99,0547740131,2023-11-21,HarperCollins,448
Book not found for ISBN 9780283071980,,,,,,,,
Book not found for ISBN 9780230766112,,,,,,,,
The Oracle,"['Clive Cussler', 'Robin Burcell']",ePUB,14.99,14.99,1405941081,2019-05-30,Penguin Books Ltd,400
Then She Vanishes,['Claire Douglas'],ePUB,15.99,15.99,1405932589,2019-06-27,Penguin Books Ltd,400
Praetorian (Eagles of the Empire 11),['Simon Scarrow'],ePUB,12.99,12.99,0755357213,2011-11-10,Headline,340
Who,"['Geoff Smart', 'Randy Street']",ePUB,17.14,13.99,0345510445,2008-09-30,Random House Publishing Group,
The Philosophy Book,['DK'],Paperback,35.95,35.95,1465458557,2017-02-21,DK PUB INC                    ,352
Back Home,['Michelle Magorian'],ePUB,9.99,9.99,0141907045,2000-01-01,Penguin Random House Children's UK,384
A History of the Bible,['Dr John Barton'],ePUB,18.99,18.99,0141978511,2019-04-04,Penguin Books Ltd,640
"Black Leopard, Red Wolf",['Marlon James'],ePUB,15.99,15.99,0241981840,2019-02-05,Penguin Books Ltd,640
The Unbound Empire,['Melissa Caruso'],Paperback,24.99,21.75,0356510646,2019-04-23,Little Brown,560
One Hundred Years of Solitude,"['Gabriel Garcia Marquez', 'Gregory Rabassa']",ePUB,15.99,15.99,0241968593,2014-03-06,Penguin Books Ltd,432
"Overlord, Vol. 10 (light novel)","['Kugane Maruyama', 'so-bin']",ePUB,22,20.99,0316444995,2019-05-21,Yen Press,
Knife Edge,['Malorie Blackman'],ePUB,9.99,9.99,1407048015,2008-12-26,RHCP,416
Under The Same Sky,"['Joseph Kim', 'Stephan Talty']",ePUB,25.29,20.99,0544373189,2023-11-21,HarperCollins,
The Christmas Train,['David Baldacci'],Paperback,27.95,27.95,1509821686,2016-10-25,Pan Macmillan UK,272
Long Walk To Freedom,['Nelson Mandela'],ePUB,12.99,12.99,140553074X,2013-04-25,"Little, Brown Book Group",784
The Last Stand of the Tin Can Sailors,['James D. Hornfischer'],ePUB,17.14,13.99,030748730X,2008-11-12,Random House Publishing Group,
Network Effect,['Martha Wells'],ePUB,19.5,15.99,1250229847,2020-05-05,Tor Publishing Group,
Looking Good Dead,['Peter James'],Paperback,22.99,20.4,1509898832,2019-04-23,Pan Macmillan UK,544
Matched,['Ally Condie'],ePUB,9.99,9.99,0141966696,2010-12-02,Penguin Random House Children's UK,384
Gideon the Ninth,['Tamsyn Muir'],ePUB,18.47,14.99,1250313171,2019-09-10,Tor Publishing Group,
Star Trek,['Michael Jan Friedman'],ePUB,18.99,18.99,0743491602,2003-09-01,Pocket Books/Star Trek,352
White Nights,['Ann Cleeves'],ePUB,13.95,10.5,0230714633,2008-09-04,,0
The Intimate Adventures Of A London Call Girl,['Belle de Jour'],ePUB,12.99,12.99,0297861026,2010-03-25,Orion,304
Fer-de-Lance,['Rex Stout'],ePUB,8.55,7.99,0307755924,2010-07-21,Random House Publishing Group,
Book not found for ISBN 9780307414090,,,,,,,,
Eat Yourself Healthy,['Dr. Megan Rossi'],ePUB,19.99,19.99,0241984548,2019-09-19,Penguin Books Ltd,272
The Outsider,"['Albert Camus', 'Sandra Smith']",ePUB,15.99,15.99,0141904259,2013-10-31,Penguin Books Ltd,128
Alias Grace,['Margaret Atwood'],ePUB,12.99,12.99,0748113339,2009-09-03,"Little, Brown Book Group",560
INSPIRED,['Marty Cagan'],ePUB,34.99,34.99,1119387566,2017-11-21,Wiley,368
Sniper One,['Dan Mills'],ePUB,14.99,14.99,0141909455,2008-05-15,Penguin Books Ltd,384
Los Yoga Sutras de Patanjali,['Swami Satchidananda'],E-Book,0,0,1306300932,2013-01-01,Integral Yoga Publications,289
Book not found for ISBN 9780141347660,,,,,,,,
Red Seas Under Red Skies : Gentleman Bastard,['Scott Lynch'],ePUB,12.99,12.99,0575085908,2009-03-12,Orion,640
A Memory of Light,"['Robert Jordan', 'Brandon Sanderson']",ePUB,11.99,11.99,0748117229,2013-04-09,"Little, Brown Book Group",768
Ghost Story,['Jim Butcher'],ePUB,12.99,12.99,0748116605,2011-07-28,"Little, Brown Book Group",416
It Starts with the Egg (second edition),['Rebecca Fett'],ePUB,12.99,12.99,0999676199,2019-05-12,Franklin Fox Publishing,
Book not found for ISBN 9780307379962,,,,,,,,
Tom Clancy's True Faith and Allegiance,['Mark Greaney'],ePUB,15.99,15.99,140592229X,2016-12-01,Penguin Books Ltd,496
Memoirs of a Geisha,['Arthur Golden'],ePUB,15.99,15.99,140701966X,2008-12-02,Random House,512
The House of Hades (Heroes of Olympus Book 4),['Rick Riordan'],ePUB,9.99,9.99,0141339217,2013-10-08,Penguin Books Ltd,560
Outliers,['Malcolm Gladwell'],ePUB,15.99,15.99,014190349X,2008-11-18,Penguin Books Ltd,320
Equal Rites,['Terry Pratchett'],ePUB,15.99,15.99,1407034472,2009-11-24,Transworld,288
The Baking Bible,['Rose Levy Beranbaum'],ePUB,42.99,42.99,0544188365,2014-10-28,HarperCollins,0
Cult Sci-Fi Movies,['Danny Peary'],ePUB,5.99,5.99,0761184279,2014-09-23,Workman Publishing Company,104
Dark Sacred Night,['Michael Connelly'],ePUB,20.99,20.99,0316486671,2018-10-30,"Little, Brown and Company",400
A Legacy of Spies,['John le Carré'],ePUB,15.99,15.99,0241981239,2017-09-07,Penguin Books Ltd,320
What Every BODY is Saying,"['Joe Navarro', 'Marvin Karlins']",ePUB,11.99,11.99,0061755664,2009-10-13,HarperCollins,272
Devastated,['R.L. Mathewson'],ePUB,4.3,4.3,099860173X,2020-06-25,R.L. Mathewson,
Super Pumped,['Mike Isaac'],ePUB,27.8,22.99,0393652254,2019-09-03,W. W. Norton & Company,
Shopaholic to the Rescue,['Sophie Kinsella'],ePUB,15.99,15.99,0593074645,2015-10-22,Transworld,384
Rumour Has It,['Jill Mansell'],ePUB,12.99,12.99,0755353382,2009-05-03,Headline,300
Two Can Keep a Secret,['Karen M. McManus'],ePUB,12.99,12.99,0141375663,2019-01-10,Penguin Random House Children's UK,336
